id,old_priority,old_kind,old_summary,v3_status,v3_status_label,v3_evidence,old_test_case_count,old_tests
PV-BUG-011,P2/P3,reproduced_bug,empty KGML produces a schema-less frame and core crashes before graceful skip,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_empty_cached_pathway_is_skipped_cleanly
PV-BUG-012,P1,reproduced_bug,group aggregation UDF receives scalar elements under current Polars,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",2,tests.test_mapping_and_colors::test_all_advertised_aggregations_work[max_abs]; tests.test_mapping_and_colors::test_all_advertised_aggregations_work[random]
PV-BUG-013,P2/P3,reproduced_bug,mol_sum casts data IDs to strings but not mapping IDs,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_mol_sum_normalizes_both_id_column_types
PV-BUG-014,P2/P3,reproduced_bug,null mapping targets are aggregated into a null output ID,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_null_mapping_targets_are_removed
PV-BUG-015,P2/P3,reproduced_bug,duplicated mapping pairs duplicate the input value before aggregation,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_duplicate_mapping_pairs_do_not_double_count
PV-BUG-016,P2/P3,reproduced_bug,entrez_gnodes is unused and species prefixes are always stripped,changed,Changed interface/behavior,The `entrez_gnodes` switch was removed; identifiers are normalized while KGML is parsed and mapping uses `kegg_names`. A fair follow-up is to test prefixed and unprefixed KEGG IDs through the new mapper.,1,tests.test_mapping_and_colors::test_kegg_gene_ids_can_be_mapped_without_stripping_prefix
PV-BUG-017,P2/P3,reproduced_bug,negative experiment count is silently accepted,still_reproducible,Still reproducible,"sim_mol_data('cpd', n_exp=-1) returned columns ['compound', 'exp1'].",1,tests.test_mapping_and_colors::test_simulation_rejects_negative_experiment_count
PV-BUG-018,P2/P3,reproduced_bug,decimal strings are parsed as hexadecimal numbers,changed,Changed interface/behavior,String-valued columns are excluded from numeric color mapping instead of being interpreted as hexadecimal values. A fair follow-up is to decide whether numeric strings should be rejected or explicitly coerced.,1,tests.test_mapping_and_colors::test_decimal_string_values_mean_the_same_as_decimal_numbers
PV-BUG-019,P2/P3,reproduced_bug,namespace-qualified KGML child tags are not dispatched,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_namespace_qualified_kgml_is_parsed
PV-BUG-020,P2/P3,reproduced_bug,duplicate KGML entry IDs silently overwrite earlier entries,still_reproducible,Still reproducible,Two KGML entries with id='1' parsed successfully and the second entry overwrote the first.,1,tests.test_parsers::test_duplicate_kgml_entry_ids_are_rejected
PV-BUG-021,P2/P3,reproduced_bug,line graphics coords are ignored and replaced with zero/default geometry,still_reproducible,Still reproducible,"A KGML line with coords='10,20,30,40' parsed with x=None, y=None, width=46, height=17.",1,tests.test_parsers::test_kgml_line_graphics_coordinates_are_preserved
PV-BUG-022,P2/P3,reproduced_bug,node_info(empty pathway) has no stable columns/schema,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_empty_kgml_node_table_has_standard_schema
PV-BUG-023,P1,reproduced_bug,parser locates a namespaced map but searches its glyphs/arcs without namespace,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_standard_namespaced_sbgn_is_parsed
PV-BUG-024,P2/P3,reproduced_bug,SBGN namespace is hard-coded to 0.2 and does not accept other valid versions,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_sbgn_namespace_version_is_discovered_from_document
PV-BUG-025,P2/P3,reproduced_bug,nested state-variable glyph is also promoted to a top-level biological node,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_state_variable_is_metadata_not_a_top_level_node
PV-BUG-026,P2/P3,reproduced_bug,standard <clone/> element is not detected; code checks an attribute instead,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_standard_sbgn_clone_marker_is_detected
PV-BUG-027,P2/P3,reproduced_bug,Bezier control <point> children inside SBGN <next> are discarded,still_reproducible,Still reproducible,"Nested SBGN control points (20,20) and (25,20) were omitted; only start, next, and end coordinates remained.",1,tests.test_parsers::test_sbgn_arc_control_points_are_preserved
PV-BUG-028,P2/P3,reproduced_bug,empty SBGN conversion returns a schema-less DataFrame,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_empty_sbgn_dataframe_has_unified_schema
PV-BUG-029,P1,reproduced_bug,compound y coordinates are flipped while gene y coordinates are effectively not,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_gene_and_compound_use_same_coordinate_system
PV-BUG-030,P1,reproduced_bug,compound KGML width is treated as radius instead of diameter,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_compound_width_is_the_full_display_diameter
PV-BUG-031,P2/P3,reproduced_bug,compound height is ignored and all compounds are forced to width-based circles,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_compound_renderer_respects_elliptical_height
PV-BUG-032,P2/P3,reproduced_bug,documented/default named highlight colors are parsed as six-digit hex,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",2,tests.test_highlighting_and_splines::test_default_named_node_highlight_color_works; tests.test_rendering::test_native_color_converter_accepts_named_matplotlib_colors
PV-BUG-033,P2/P3,reproduced_bug,three-digit CSS hex colors are not accepted,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_native_color_converter_accepts_short_hex
PV-BUG-034,P1,reproduced_bug,bbox_inches='tight' crops/rescales native output instead of preserving KEGG pixels,still_reproducible,Still reproducible,"A 120x100 native background saved as a 792x664 output with title, key, and signature disabled at dpi=100.",1,tests.test_rendering::test_native_output_preserves_background_dimensions
PV-BUG-035,P2/P3,reproduced_bug,SVG document title is not XML-escaped,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_svg_pathway_title_with_special_characters_is_valid
PV-BUG-036,P2/P3,reproduced_bug,SVG clip IDs interpolate unescaped node identifiers,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_svg_ellipse_accepts_special_node_identifiers
PV-BUG-037,P2/P3,reproduced_bug,empty SVG fill list renders text but no node shape,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_svg_node_with_no_fill_values_still_has_a_visible_shape
PV-BUG-038,P1,reproduced_bug,graph/PDF renderer uses only the first experiment color,still_reproducible,Still reproducible,Graph rendering reduced two colors per node to one node_color entry per node.,1,tests.test_rendering::test_graph_renderer_preserves_two_state_node_colors
PV-BUG-039,P1,reproduced_bug,"highlights flip y but native gene painting does not, so borders miss noncentral nodes",fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_highlight_border_uses_same_coordinates_as_native_gene_node
PV-BUG-040,P2/P3,reproduced_bug,highlight opacity argument is ignored,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_border_opacity_blends_with_existing_pixels
PV-BUG-041,P2/P3,reproduced_bug,change_labels records metadata but does not alter the saved image,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_change_labels_visibly_changes_rendered_result
PV-BUG-042,P2/P3,reproduced_bug,edge highlighting builds positions from genes only,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_edge_highlighting_supports_compounds
PV-BUG-043,P2/P3,reproduced_bug,requested one-pixel line is drawn two pixels thick,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_line_thickness_one_is_exactly_one_pixel
PV-BUG-044,P2/P3,reproduced_bug,save() does not infer PDF from path and writes PNG bytes to a .pdf name,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_save_infers_format_from_file_extension
PV-BUG-045,P1,reproduced_bug,duplicated phantom/repeated Catmull-Rom points cause zero denominators and NaNs,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",3,tests.test_highlighting_and_splines::test_catmull_rom_documented_inputs_are_finite[points0]; tests.test_highlighting_and_splines::test_catmull_rom_documented_inputs_are_finite[points1]; tests.test_highlighting_and_splines::test_catmull_rom_documented_inputs_are_finite[points2]
PV-BUG-046,P2/P3,reproduced_bug,obstacles=None forces every routing mode to a straight two-point line,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_curved_routing_works_without_obstacle_list
PV-BUG-047,P2/P3,reproduced_bug,obstacles argument is not consulted by routing implementation,changed,Changed interface/behavior,Obstacle handling is now the documented `routing_mode='avoid'` path. A fair follow-up is to test that mode with a supplied obstacle.,1,tests.test_highlighting_and_splines::test_edge_route_avoids_supplied_obstacle
PV-BUG-048,P2/P3,reproduced_bug,orthogonal routing delegates to broken Catmull-Rom implementation,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_orthogonal_route_is_finite
PV-BUG-049,P2/P3,reproduced_bug,unknown routing mode silently falls back to straight,still_reproducible,Still reproducible,"route_edge_spline(..., routing_mode='banana') returned a finite (30,2) curve rather than rejecting the mode.",1,tests.test_highlighting_and_splines::test_unknown_routing_mode_is_rejected
PV-BUG-050,P2/P3,reproduced_bug,smooth_path_svg tension parameter is unused,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_smooth_svg_tension_changes_curve
PV-BUG-051,P2/P3,reproduced_bug,nonfinite curve values are serialized directly into SVG,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_nonfinite_curve_is_rejected_before_svg_serialization
PV-BUG-052,P1,reproduced_bug,CLI unconditionally calls gene_data.cast even for compound-only input,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_cli_compound_only_workflow
PV-BUG-053,P2/P3,reproduced_bug,"CLI reports pathway row count as 'nodes mapped', including null rows",fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_cli_reports_non_null_mapped_count
PV-BUG-054,P2/P3,reproduced_bug,upstream feature script fails when run directly because of relative imports,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_upstream_feature_script_runs_as_documented
PV-BUG-055,P2/P3,reproduced_bug,promised common-name lookup requires exact equality with full KEGG description,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_species_resolution_accepts_common_name
PV-BUG-056,P2/P3,reproduced_bug,invalid KEGG file types fail with internal KeyError instead of validation error,still_reproducible,Still reproducible,"download_kegg(..., file_type=['banana']) raised KeyError('banana').",1,tests.test_cli_and_integrations::test_kegg_download_rejects_invalid_file_type
PV-BUG-057,P2/P3,reproduced_bug,KEGG downloader trusts any HTTP 200 body without format/content validation,still_reproducible,Still reproducible,"A mocked HTTP 200 HTML body for a PNG was written to hsa00020.png and reported as succeed. XML now has a content check, so this is a partial fix only.",2,tests.test_cli_and_integrations::test_kegg_download_rejects_html_error_page_with_status_200[xml]; tests.test_cli_and_integrations::test_kegg_download_rejects_html_error_page_with_status_200[png]
PV-BUG-058,P1,reproduced_bug,"MyGene batch endpoint is /v3/query, not coded /v3/querymany",fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_mygene_uses_documented_batch_query_endpoint
PV-BUG-059,P2/P3,reproduced_bug,nested MyGene fields are stringified as Python dicts instead of extracting IDs,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_mygene_nested_uniprot_result_extracts_accession
PV-BUG-060,P2/P3,reproduced_bug,core forwards KEGG code 'hsa' where MyGene documents common names/taxonomy IDs,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_symbol_mapping_translates_kegg_species_to_mygene_species
PV-BUG-061,P2/P3,reproduced_bug,KEGG chemical conversion uses alias 'cpd' where API specifies 'compound',still_reproducible,Still reproducible,The generated KEGG conversion URL still used /conv/cpd/ rather than /conv/compound/.,1,tests.test_cli_and_integrations::test_compound_mapping_uses_documented_kegg_database_name
PV-BUG-062,P2/P3,reproduced_bug,already-prefixed compound IDs receive a duplicate source prefix,still_reproducible,Still reproducible,An already-prefixed input produced /conv/cpd/pubchem:pubchem:123.,1,tests.test_cli_and_integrations::test_compound_mapping_normalizes_prefixed_input
PV-BUG-063,P2/P3,reproduced_bug,SMP prefix detection accepts malformed arbitrary IDs,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_database_detection_validates_smpdb_identifier
PV-BUG-064,P2/P3,reproduced_bug,database detection is unexpectedly case-sensitive,still_reproducible,Still reproducible,"Uppercase Reactome/PANTHER IDs resolved, while lowercase forms returned null.",1,tests.test_cli_and_integrations::test_database_detection_is_case_insensitive
PV-BUG-065,P1,reproduced_bug,SBGN downloaders accept HTTP 200 HTML pages as successful pathway files,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",2,tests.test_cli_and_integrations::test_sbgn_downloaders_reject_html[download_reactome-R-HSA-109582]; tests.test_cli_and_integrations::test_sbgn_downloaders_reject_html[download_metacyc-PWY-7210]
PV-BUG-066,P2/P3,reproduced_bug,list_reactome_pathways hardcodes Homo sapiens in URL,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_reactome_listing_uses_requested_species
PV-BUG-067,P2/P3,reproduced_bug,SVG output unnecessarily requires/downloads a KEGG PNG when kegg_native=True,changed,Changed interface/behavior,"The `render_mode` argument now selects native, vector, graph, or SVG behavior. A fair follow-up is to run SVG mode with KGML present and no PNG.",1,tests.test_public_core::test_svg_core_needs_only_cached_xml
PV-BUG-068,P2/P3,reproduced_bug,KGML shape='circle' is sent to SVG but only shape='ellipse' renders an ellipse,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_svg_renders_kgml_circle_as_circle
PV-BUG-069,P2/P3,reproduced_bug,all-transparent SVG nodes are forcibly recolored gray,still_reproducible,Still reproducible,render_node_svg replaced a transparent fill with the theme's unmapped color.,1,tests.test_rendering::test_svg_preserves_transparent_unmapped_nodes
PV-BUG-070,P2/P3,reproduced_bug,compound-only native color-key layout leaves a blank visible ticked subplot,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_compound_only_color_key_has_no_blank_subplot
PV-BUG-071,P2/P3,reproduced_bug,"graph color key always uses gene limits/colors, even for compound-only plots",fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_compound_only_graph_uses_compound_color_scale
PV-BUG-072,P2/P3,reproduced_bug,highlight drawing cannot assign RGB tuples into RGBA arrays,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_highlighting_supports_rgba_pathway_images
PV-BUG-073,P2/P3,reproduced_bug,dynamic label-change metadata is lost when another layer is chained,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_highlighting_and_splines::test_label_changes_survive_later_highlight_layers
PV-BUG-074,P1,reproduced_bug,Reactome SBGN file exporter route is coded as /exporter/sbgn/{id}.sbgn instead of /exporter/event/{id}.sbgn,still_reproducible,Still reproducible,REACTOME_SBGN is still https://reactome.org/ContentService/exporter/sbgn and constructs .../sbgn/{id}.sbgn.,1,tests.test_cli_and_integrations::test_reactome_downloader_uses_file_exporter_route
PV-BUG-075,P1,reproduced_bug,_add_symbol_labels joins a SYMBOL column but never replaces the rendered label,still_reproducible,Still reproducible,_symbol_labels returned an empty label map for a gene whose existing label was the Entrez text '7157'.,1,tests.test_public_core::test_map_symbol_updates_the_label_used_by_renderers
PV-BUG-076,P2/P3,reproduced_bug,invalid node_sum ValueError is swallowed by node_map and core still returns output,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_public_core::test_invalid_node_sum_is_rejected_by_python_api
PV-BUG-077,P2/P3,reproduced_bug,--simulate branch silently ignores a supplied --cpd-data file,changed,Changed interface/behavior,The old CLI `--simulate` branch was removed; simulation remains available through Python data-generation functions. There is no like-for-like CLI call to recheck.,1,tests.test_cli_and_integrations::test_cli_simulation_can_be_combined_with_compound_data
PV-BUG-078,P2/P3,reproduced_bug,MyGene returnall dictionary response is iterated as if it were a list of hits,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_mygene_returnall_response_shape_is_supported
PV-BUG-079,P2/P3,reproduced_bug,wordwrap width=0 with break_word=True makes no progress and loops forever,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_hard_wordwrap_rejects_zero_width_instead_of_hanging
PV-FEATURE-001,P2/P3,feature_gap,discrete is accepted by public APIs but ignored by node_color,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_mapping_and_colors::test_discrete_setting_changes_color_mapping_mode
PV-FEATURE-002,P2/P3,feature_gap,SBGNGlyph exposes unit_of_information but parser never populates it,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_parsers::test_sbgn_unit_of_information_is_parsed
PV-FEATURE-003,P1,feature_gap,main SVG renderer receives no relation data and emits no pathway edges,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_main_svg_renderer_includes_pathway_edges
PV-FEATURE-004,P1,feature_gap,graph renderer builds nodes only; KGML relations are not passed into it,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_rendering::test_graph_renderer_contains_relations
PV-FEATURE-005,P2/P3,feature_gap,PANTHER downloader is an explicit unimplemented stub,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_panther_downloader_returns_path
PV-FEATURE-006,P2/P3,feature_gap,SMPDB downloader is an explicit unimplemented stub,fixed,Fixed,"The old failure condition is absent in the v3 test, adapted recheck, or direct source audit.",1,tests.test_cli_and_integrations::test_smpdb_downloader_returns_path
PV-FEATURE-007,P1,feature_gap,non-KEGG database detection/download/parsing is not wired through pathview(),changed,Changed interface/behavior,"Non-KEGG work now uses `sbgnview()` and `sbgnview_batch()` rather than dispatching through `pathview()`. A fair follow-up is to test download, parse, map, and render through that entry point.",1,tests.test_cli_and_integrations::test_core_routes_reactome_ids_to_reactome_pipeline
